Id_med;Pais_regiao;Total_Casos;Total_mortos;Total_Recuperados;Casos_Ativo;Serios_Criticos;Total_Testes;Regiao_ONU
43;Guatemala;54339;2119;42070;10150;5;172712;Americas
44;Portugal;52061;1743;37840;12478;42;1705474;Europe
45;Poland;49515;1774;35642;12099;72;2374686;Europe
46;Nigeria;45244;930;32430;11884;7;306894;Africa
47;Honduras;45098;1423;6116;37559;52;109292;Americas
48;Bahrain;42889;156;39945;2788;41;876700;EasternMediterranean
49;Japan;42263;1026;28877;12360;115;938739;WesternPacific
50;Armenia;39819;772;31556;7491;;171600;Europe
51;Ghana;39642;199;36384;3059;7;405817;Africa
52;Kyrgyzstan;38659;1447;30099;7113;24;267718;Europe
53;Afghanistan;36896;1298;25840;9758;31;90396;EasternMediterranean
54;Switzerland;36108;1985;31600;2523;23;822764;Europe
55;Algeria;33626;1273;23238;9115;57;;Africa
56;Azerbaijan;33247;479;29275;3493;66;766179;Europe
57;Morocco;29644;449;20553;8642;31;1383816;EasternMediterranean
58;Uzbekistan;28315;175;19291;8849;228;1377915;Europe
59;Serbia;27332;621;14047;12664;120;723137;Europe
60;Moldova;26628;828;18676;7124;362;128076;Europe
61;Ireland;26372;1768;23364;1240;5;652917;Europe
62;Kenya;24411;399;10444;13568;44;335318;Africa
63;Venezuela;22299;195;12146;9958;42;1567431;Americas
64;Nepal;21750;65;15389;6296;;731977;South-EastAsia
65;Austria;21696;719;19596;1381;25;937275;Europe
66;Costa Rica;21070;200;7038;13832;103;96110;Americas
67;Ethiopia;20900;365;9027;11508;185;468814;Africa
68;Australia;19890;255;10941;8694;52;4631419;WesternPacific
69;El Salvador;19126;513;9236;9377;509;251271;Americas
70;Czechia;17731;390;12320;5021;17;728670;Europe
71;Cameroon;17718;391;15320;2007;30;149000;Africa
72;Ivory Coast;16447;103;12484;3860;;104584;Africa
73;S. Korea;14519;303;13543;673;18;1613652;WesternPacific
74;Denmark;14306;617;12787;902;2;1654512;Europe
75;Palestine;13398;92;6907;6399;;200280;EasternMediterranean
76;Bosnia and Herzegovina;13396;384;7042;5970;;147021;Europe
77;Bulgaria;13014;435;7374;5205;47;294087;Europe
78;Madagascar;12526;134;10148;2244;88;46301;Africa
79;Sudan;11780;763;6194;4823;;401;EasternMediterranean
80;North Macedonia;11399;517;7480;3402;3;109946;Europe
81;Senegal;10715;223;7101;3391;33;114761;Africa
82;Norway;9468;256;8857;355;3;472841;Europe
83;DRC;9309;215;8048;1046;;;Africa
